Date,Original Date,Account Type,Account Name,Account Number,Institution Name,Name,Amount,Description,Category,Note
2021-04-08,2021-04-08,Cash,RIVER CHECKING,4821,Northline Bank,PAYROLL DEPOSIT 25009,-922.89,PAYROLL DEPOSIT 25966977,Income,
2021-04-16,2021-04-16,Cash,RIVER CHECKING,4821,Northline Bank,Yonder Supply Travel,58.02,YONDER SUPPLY TRAVEL Juniper Terrace NJ        04/16,Travel & Vacation,
2021-04-19,2021-04-19,Cash,RIVER CHECKING,4821,Northline Bank,Quartz Table Table,10.58,QUARTZ TABLE TABLE Juniper Bay FL        04/19,Dining & Drinks,
2021-04-19,2021-04-19,Cash,RIVER CHECKING,4821,Northline Bank,Ember Transit Co.,1.05,EMBER TRANSIT CO. Glen Park MA                    04/19,Education,
2021-04-19,2021-04-19,Cash,RIVER CHECKING,4821,Northline Bank,Ember Transit Co.,1.05,EMBER TRANSIT CO. Arbor Springs CA                    04/19,Education,
2021-04-19,2021-04-19,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Club Group,0.74,VELVET CLUB GROUP Valley Crossing NJ                    04/19,Education,
2021-04-19,2021-04-19,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,19.83,PEERPAY PAYMENT    5483983441172   WEB ID: 5332551444,Uncategorized,
2021-04-20,2021-04-20,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Club Group,0.77,VELVET CLUB GROUP Meadow Crossing NY                    04/20,Education,
2021-04-20,2021-04-20,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Club Group,0.74,VELVET CLUB GROUP Northfield Falls UT                    04/20,Education,
2021-04-20,2021-04-20,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Club Group,1.03,VELVET CLUB GROUP Brighton Point MA                    04/20,Education,
2021-04-20,2021-04-20,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Club Group,0.98,VELVET CLUB GROUP Kings Heights CA                    04/20,Education,
2021-04-20,2021-04-20,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,21.08,PEERPAY PAYMENT    5048195368228   WEB ID: 3336175396,Uncategorized,
2021-04-21,2021-04-21,Cash,RIVER CHECKING,4821,Northline Bank,Umber Transit Kitchen,10.79,UMBER TRANSIT KITCHEN Meadow Springs FL        04/21,Dining & Drinks,
2021-04-21,2021-04-21,Cash,RIVER CHECKING,4821,Northline Bank,Opal Bistro Group,0.74,OPAL BISTRO GROUP Summit Falls CT                    04/21,Education,
2021-04-21,2021-04-21,Cash,RIVER CHECKING,4821,Northline Bank,Opal Bistro Group,0.97,OPAL BISTRO GROUP Oak City CT                    04/21,Education,
2021-04-21,2021-04-21,Cash,RIVER CHECKING,4821,Northline Bank,Opal Bistro Group,0.96,OPAL BISTRO GROUP Quartz Park NJ                    04/21,Education,
2021-04-21,2021-04-21,Cash,RIVER CHECKING,4821,Northline Bank,Opal Bistro Group,0.98,OPAL BISTRO GROUP Brighton Junction MA                    04/21,Education,
2021-04-22,2021-04-22,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,47.46,GOLOOP TRIP HELP.goloop.com CA                 04/22,Auto & Transport,
2021-04-22,2021-04-22,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,49.75,GOLOOP TRIP HELP.goloop.com CA                 04/22,Auto & Transport,
2021-04-22,2021-04-22,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,6.88,PEERPAY PAYMENT    3127773038608   WEB ID: 2764227088,Uncategorized,
2021-04-22,2021-04-22,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,41.59,PEERPAY PAYMENT    6105948182974   WEB ID: 8822002622,Uncategorized,
2021-04-23,2021-04-23,Cash,RIVER CHECKING,4821,Northline Bank,BankSend payment from Kai Iverson 73453059634,-95.45,BankSend payment from Quinn Zimmer 47764414354,Internal Transfers,
2021-04-26,2021-04-26,Cash,RIVER CHECKING,4821,Northline Bank,Bramble Club Kitchen,15.31,BRAMBLE CLUB KITCHEN Brighton Heights IL        04/26,Dining & Drinks,
2021-04-26,2021-04-26,Cash,RIVER CHECKING,4821,Northline Bank,PAYROLL DEPOSIT 37145,-6209.26,PAYROLL DEPOSIT 89201304,Income,
2021-04-26,2021-04-26,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,13.93,RIDEFOX TRIP HELP.ridefox.com CA                 04/26,Auto & Transport,
2021-04-26,2021-04-26,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,7.48,PEERPAY PAYMENT    9066160842993   WEB ID: 5507228401,Uncategorized,
2021-04-27,2021-04-27,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Works Group,1.04,MEADOW WORKS GROUP Juniper Falls IL                    04/27,Education,
2021-04-27,2021-04-27,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Works Group,1.01,MEADOW WORKS GROUP Brighton Junction FL                    04/27,Education,
2021-04-27,2021-04-27,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Works Group,0.97,MEADOW WORKS GROUP Ivy Springs WA                    04/27,Education,
2021-04-27,2021-04-27,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Works Group,0.76,MEADOW WORKS GROUP Juniper Falls UT                    04/27,Education,
